fid,id,inscricoes,latitude,longitude,elevacao,setor_abastecimento
"11563","29654","93440",-3.74374381657512,-38.5185987871121,19.107027053833,"17"
"11564","29655","85227",-3.74843849893348,-38.520427859158,15,"17"
"11565","29656","6007309",-3.74600550037589,-38.519406225123,17.9121608734131,"17"
"11566","29677","2455846",-3.82121936039356,-38.6121846831217,24.5397453308105,"15"
"11567","29678","2718189",-3.81938582450593,-38.5108987114285,12.2864656448364,"3"
"11568","29679","4461649",-3.79570185451304,-38.5497735114255,19.1529693603516,"12"
"11569","29680","7776888",-3.8241169296321,-38.4778507682907,27.0613441467285,"3"
"11570","29681","3156702",-3.84502297142551,-38.4967077994131,29,"3"
"11571","29682","10195556",-3.84344793461221,-38.4961657641991,32,"3"
"11572","29683","5525608",-3.8389738922454,-38.5642937488798,31.0365715026855,"15"
"11573","29684","7571798",-3.83794577338435,-38.56886864165,29.6887321472168,"15"
"11574","29685","7603460",-3.83575687422996,-38.570789146814,35.6238822937012,"15"
"11575","29686","8332703",-3.83500309320481,-38.5737487416504,40.7574768066406,"15"
"11576","29687","7704577",-3.80319922341008,-38.4587889952832,9.28442573547363,"10"
"11577","29688","8732787",-3.79865402814089,-38.4655283962225,10,"10"
"11578","29689","4180488",-3.7939332467424,-38.4698344510502,14.8529663085938,"10"
"11579","29690","5160618",-3.79102641606222,-38.4747060106254,19.9308185577393,"10"
"11580","29691","10417680",-3.78100157470697,-38.5127919800113,4.45803594589233,"6"
"11581","29692","8860831",-3.77586995099733,-38.5122703986814,4,"6"
"11582","29693","2076292",-3.77451898272831,-38.5135723710989,4,"6"
"11583","29694","2082195",-3.77409739223611,-38.5147499483353,6.51216411590576,"6"
"11584","29695","6003532",-3.77198589221102,-38.5133776758028,5,"6"
"11585","29696","5305896",-3.77179119657707,-38.5122242715608,3,"6"
"11586","29697","10689966",-3.7847377215994,-38.5905408346591,21,"11"
"11587","29698","3301125",-3.7857568223873,-38.5808215121752,33,"11"
"11588","29699","10039759",-3.8071062080521,-38.6061254097081,20.6477432250977,"4"
"11589","29700","1951866",-3.77398606229547,-38.605314334747,12.0703830718994,"4"
"11590","29701","6801072",-3.78635649761717,-38.5826719337244,33.0342597961426,"11"
"11591","29702","10051694",-3.75006010905712,-38.5742680945321,26.6412220001221,"13"
"11592","29703","10424601",-3.74915552139684,-38.5695642264458,11.3309640884399,"13"
"11593","29704","4448430",-3.79471912545037,-38.5958927942211,23.37060546875,"4"
"11594","29705","3705455",-3.79215181678555,-38.5937977392974,16.4706287384033,"4"
"11595","29706","3714209",-3.79304632039689,-38.5960217139474,19.3407955169678,"4"
"11596","29707","3878503",-3.78975233404502,-38.6037300381389,21.3436183929443,"4"
"11597","29708","7580711",-3.83364373834399,-38.5725409675972,38.1546669006348,"15"
"11598","29709","6980945",-3.83119958638963,-38.5229670548857,9.28482627868652,"3"
"11599","29711","8417814",-3.83477561131086,-38.5724624075086,40.1967735290527,"15"
"11600","29712","4634241",-3.82379303774134,-38.5823773294821,29.7765197753906,"15"
"11601","29713","10372415",-3.82109859975758,-38.592982265594,35.1344146728516,"15"
"11602","29714","6538959",-3.81834291119567,-38.5991757727475,24.7066955566406,"15"
"11603","29715","2949571",-3.82452041634864,-38.5121785695342,12.0075483322144,"3"
"11604","29716","8412952",-3.80955110828988,-38.5849153851774,30.4018936157227,"15"
"11605","29717","8412901",-3.80938516099935,-38.5847624063011,30.043420791626,"15"
"11606","29718","6580335",-3.80882214902841,-38.5839826626759,30.5609874725342,"15"
"11607","29722","10241124",-3.80425073989461,-38.4881348996151,19.6053848266602,"10"
"11608","29723","6708714",-3.80358155746768,-38.4860943400966,15.0421600341797,"10"
"11609","29724","10500979",-3.80211994697859,-38.4849179268478,8.25327491760254,"10"
"11610","29725","8746419",-3.74251464663275,-38.4575408896436,27.8018188476563,"18"
"11611","29726","8869723",-3.73005103306182,-38.4707751840619,46.9343643188477,"18"
"11612","29727","8479275",-3.73039962492576,-38.4701364816741,54.1328277587891,"18"
